Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
11-May-93,Arsenal,Tottenham,1,3,A
11-May-93,QPR,Sheffield Weds,3,1,H
09-May-93,QPR,Aston Villa,2,1,H
09-May-93,Wimbledon,Man United,1,2,A
08-May-93,Arsenal,Crystal Palace,3,0,H
08-May-93,Blackburn,Sheffield Weds,1,0,H
08-May-93,Conventry,Leeds,3,3,D
08-May-93,Ipswich,Nott'm Forest,2,1,H
08-May-93,Liverpool,Tottenham,6,2,H
08-May-93,Man City,Everton,2,5,A
08-May-93,Middlesbrough,Norwich,3,3,D
08-May-93,Oldham,Southampton,4,3,H
08-May-93,Sheffield United,Chelsea,4,2,H
06-May-93,Sheffield Weds,Arsenal,1,0,H
05-May-93,Man City,Crystal Palace,0,0,D
05-May-93,Oldham,Liverpool,3,2,H
05-May-93,Tottenham,Blackburn,1,2,A
04-May-93,Arsenal,QPR,0,0,D
04-May-93,Everton,Sheffield United,0,2,A
04-May-93,Sheffield Weds,Leeds,1,1,D
03-May-93,Man United,Blackburn,3,1,H
02-May-93,Aston Villa,Oldham,0,1,A
01-May-93,Chelsea,Conventry,2,1,H
01-May-93,Crystal Palace,Ipswich,3,1,H
01-May-93,Everton,Arsenal,0,0,D
01-May-93,Leeds,QPR,1,1,D
01-May-93,Norwich,Liverpool,1,0,H
01-May-93,Nott'm Forest,Sheffield United,0,2,A
01-May-93,Sheffield Weds,Middlesbrough,2,3,A
01-May-93,Southampton,Man City,0,1,A
01-May-93,Tottenham,Wimbledon,1,1,D
21-Apr-93,Arsenal,Nott'm Forest,1,1,D
21-Apr-93,Blackburn,Aston Villa,3,0,H
21-Apr-93,Crystal Palace,Man United,0,2,A
21-Apr-93,Liverpool,Leeds,2,0,H
21-Apr-93,Man City,Wimbledon,1,1,D
21-Apr-93,Sheffield Weds,Sheffield United,1,1,D
20-Apr-93,Middlesbrough,Tottenham,3,0,H
19-Apr-93,Ipswich,Norwich,3,1,H
18-Apr-93,Aston Villa,Man City,3,1,H
17-Apr-93,Leeds,Crystal Palace,0,0,D
17-Apr-93,Liverpool,Conventry,4,0,H
17-Apr-93,Man United,Chelsea,3,0,H
17-Apr-93,Sheffield United,Blackburn,1,3,A
17-Apr-93,Southampton,Everton,0,0,D
17-Apr-93,Tottenham,Oldham,4,1,H
17-Apr-93,Wimbledon,Nott'm Forest,1,0,H
14-Apr-93,Norwich,Leeds,4,2,H
13-Apr-93,Oldham,Sheffield United,1,1,D
12-Apr-93,Arsenal,Aston Villa,0,1,A
12-Apr-93,Blackburn,Ipswich,2,1,H
12-Apr-93,Chelsea,Wimbledon,4,2,H
12-Apr-93,Conventry,Man United,0,1,A
12-Apr-93,Crystal Palace,Middlesbrough,4,1,H
12-Apr-93,Everton,QPR,3,5,A
12-Apr-93,Man City,Liverpool,1,1,D
12-Apr-93,Nott'm Forest,Tottenham,2,1,H
12-Apr-93,Sheffield Weds,Southampton,5,2,H
10-Apr-93,Aston Villa,Conventry,0,0,D
10-Apr-93,Ipswich,Arsenal,1,2,A
10-Apr-93,Leeds,Blackburn,5,2,H
10-Apr-93,Liverpool,Oldham,1,0,H
10-Apr-93,Man United,Sheffield Weds,2,1,H
10-Apr-93,Middlesbrough,Everton,1,2,A
10-Apr-93,QPR,Nott'm Forest,4,3,H
10-Apr-93,Southampton,Chelsea,1,0,H
09-Apr-93,Sheffield United,Man City,1,1,D
09-Apr-93,Tottenham,Norwich,5,1,H
09-Apr-93,Wimbledon,Crystal Palace,4,0,H
07-Apr-93,Nott'm Forest,Blackburn,1,3,A
07-Apr-93,Oldham,Sheffield Weds,1,1,D
06-Apr-93,Ipswich,Chelsea,1,1,D
06-Apr-93,Middlesbrough,Arsenal,1,0,H
06-Apr-93,Sheffield United,Leeds,2,1,H
05-Apr-93,Norwich,Man United,1,3,A
04-Apr-93,Nott'm Forest,Aston Villa,0,1,A
03-Apr-93,Blackburn,Liverpool,4,1,H
03-Apr-93,Chelsea,Middlesbrough,4,0,H
03-Apr-93,Conventry,Southampton,2,0,H
03-Apr-93,Crystal Palace,QPR,1,1,D
03-Apr-93,Man City,Ipswich,3,1,H
03-Apr-93,Oldham,Wimbledon,6,2,H
24-Mar-93,Conventry,Sheffield United,1,3,A
24-Mar-93,Everton,Ipswich,3,0,H
24-Mar-93,Leeds,Chelsea,1,1,D
24-Mar-93,Man United,Arsenal,0,0,D
24-Mar-93,Norwich,Aston Villa,1,0,H
24-Mar-93,QPR,Blackburn,0,3,A
24-Mar-93,Sheffield Weds,Wimbledon,1,1,D
24-Mar-93,Southampton,Nott'm Forest,1,2,A
24-Mar-93,Tottenham,Man City,3,1,H
23-Mar-93,Crystal Palace,Liverpool,1,1,D
22-Mar-93,Middlesbrough,Oldham,2,3,A
21-Mar-93,Nott'm Forest,Leeds,1,1,D
20-Mar-93,Arsenal,Southampton,4,3,H
20-Mar-93,Aston Villa,Sheffield Weds,2,0,H
20-Mar-93,Blackburn,Middlesbrough,1,1,D
20-Mar-93,Chelsea,Tottenham,1,1,D
20-Mar-93,Ipswich,Conventry,0,0,D
20-Mar-93,Liverpool,Everton,1,0,H
20-Mar-93,Man City,Man United,1,1,D
20-Mar-93,Oldham,QPR,2,2,D
20-Mar-93,Sheffield United,Crystal Palace,0,1,A
20-Mar-93,Wimbledon,Norwich,3,0,H
17-Mar-93,Nott'm Forest,Norwich,0,3,A
15-Mar-93,Crystal Palace,Chelsea,1,1,D
14-Mar-93,Man United,Aston Villa,1,1,D
13-Mar-93,Conventry,Arsenal,0,2,A
13-Mar-93,Everton,Nott'm Forest,3,0,H
13-Mar-93,Leeds,Man City,1,0,H
13-Mar-93,Middlesbrough,Liverpool,1,2,A
13-Mar-93,Norwich,Oldham,1,0,H
13-Mar-93,QPR,Wimbledon,1,2,A
13-Mar-93,Southampton,Ipswich,4,3,H
10-Mar-93,Aston Villa,Tottenham,0,0,D
10-Mar-93,Chelsea,Everton,2,1,H
10-Mar-93,Ipswich,Sheffield Weds,0,1,A
10-Mar-93,Liverpool,QPR,1,0,H
10-Mar-93,Man City,Conventry,1,0,H
10-Mar-93,Sheffield United,Norwich,0,1,A
09-Mar-93,Blackburn,Southampton,0,0,D
09-Mar-93,Oldham,Man United,1,0,H
09-Mar-93,Wimbledon,Middlesbrough,2,0,H
07-Mar-93,Conventry,Everton,0,1,A
06-Mar-93,Liverpool,Man United,1,2,A
06-Mar-93,QPR,Norwich,3,1,H
06-Mar-93,Wimbledon,Southampton,1,2,A
03-Mar-93,Conventry,Sheffield Weds,1,0,H
03-Mar-93,Everton,Blackburn,2,1,H
03-Mar-93,Norwich,Arsenal,1,1,D
03-Mar-93,Nott'm Forest,Crystal Palace,1,1,D
02-Mar-93,Ipswich,Middlesbrough,0,1,A
02-Mar-93,Sheffield United,Tottenham,6,0,H
01-Mar-93,Chelsea,Arsenal,1,0,H
28-Feb-93,Norwich,Blackburn,0,0,D
27-Feb-93,Aston Villa,Wimbledon,1,0,H
27-Feb-93,Crystal Palace,Conventry,0,0,D
27-Feb-93,Everton,Oldham,2,2,D
27-Feb-93,Leeds,Ipswich,1,0,H
27-Feb-93,Man United,Middlesbrough,3,0,H
