Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
27-Feb-93,Nott'm Forest,Man City,0,2,A
27-Feb-93,Sheffield Weds,Liverpool,1,1,D
27-Feb-93,Southampton,Sheffield United,3,2,H
27-Feb-93,Tottenham,QPR,3,2,H
24-Feb-93,Arsenal,Leeds,0,0,D
24-Feb-93,Nott'm Forest,QPR,1,0,H
23-Feb-93,Man City,Sheffield Weds,1,2,A
22-Feb-93,Sheffield United,Oldham,2,0,H
21-Feb-93,Blackburn,Chelsea,2,0,H
20-Feb-93,Aston Villa,Everton,2,1,H
20-Feb-93,Liverpool,Ipswich,0,0,D
20-Feb-93,Man United,Southampton,2,1,H
20-Feb-93,Middlesbrough,Nott'm Forest,1,2,A
20-Feb-93,Norwich,Man City,2,1,H
20-Feb-93,Oldham,Arsenal,0,1,A
20-Feb-93,QPR,Conventry,2,0,H
20-Feb-93,Sheffield Weds,Crystal Palace,2,1,H
20-Feb-93,Tottenham,Leeds,4,0,H
20-Feb-93,Wimbledon,Sheffield United,2,0,H
13-Feb-93,Chelsea,Aston Villa,0,1,A
13-Feb-93,Leeds,Oldham,2,0,H
13-Feb-93,Southampton,Liverpool,2,1,H
10-Feb-93,Arsenal,Wimbledon,0,1,A
10-Feb-93,Chelsea,Liverpool,0,0,D
10-Feb-93,Crystal Palace,Aston Villa,1,0,H
10-Feb-93,Everton,Tottenham,1,2,A
10-Feb-93,Southampton,Norwich,3,0,H
09-Feb-93,Ipswich,QPR,1,1,D
09-Feb-93,Sheffield United,Middlesbrough,2,0,H
08-Feb-93,Leeds,Man United,0,0,D
07-Feb-93,Tottenham,Southampton,4,2,H
06-Feb-93,Aston Villa,Ipswich,2,0,H
06-Feb-93,Liverpool,Nott'm Forest,0,0,D
06-Feb-93,Man United,Sheffield United,2,1,H
06-Feb-93,Middlesbrough,Conventry,0,2,A
06-Feb-93,Oldham,Chelsea,3,1,H
06-Feb-93,QPR,Man City,1,1,D
06-Feb-93,Sheffield Weds,Everton,3,1,H
06-Feb-93,Wimbledon,Leeds,1,0,H
02-Feb-93,Blackburn,Crystal Palace,1,2,A
30-Jan-93,Arsenal,Liverpool,0,1,A
30-Jan-93,Chelsea,Sheffield Weds,0,2,A
30-Jan-93,Conventry,Wimbledon,0,2,A
30-Jan-93,Crystal Palace,Tottenham,1,3,A
30-Jan-93,Everton,Norwich,0,1,A
30-Jan-93,Ipswich,Man United,2,1,H
30-Jan-93,Leeds,Middlesbrough,3,0,H
30-Jan-93,Man City,Blackburn,3,2,H
30-Jan-93,Nott'm Forest,Oldham,2,0,H
30-Jan-93,Sheffield United,QPR,1,2,A
30-Jan-93,Southampton,Aston Villa,2,0,H
27-Jan-93,Aston Villa,Sheffield United,3,1,H
27-Jan-93,Man United,Nott'm Forest,2,0,H
27-Jan-93,Norwich,Crystal Palace,4,2,H
27-Jan-93,QPR,Chelsea,1,1,D
27-Jan-93,Tottenham,Ipswich,0,2,A
26-Jan-93,Blackburn,Conventry,2,5,A
26-Jan-93,Middlesbrough,Southampton,2,1,H
26-Jan-93,Oldham,Man City,0,1,A
26-Jan-93,Wimbledon,Everton,1,3,A
23-Jan-93,Conventry,Oldham,3,0,H
18-Jan-93,QPR,Man United,1,3,A
17-Jan-93,Aston Villa,Middlesbrough,5,1,H
16-Jan-93,Everton,Leeds,2,0,H
16-Jan-93,Man City,Arsenal,0,1,A
16-Jan-93,Norwich,Conventry,1,1,D
16-Jan-93,Nott'm Forest,Chelsea,3,0,H
16-Jan-93,Oldham,Blackburn,0,1,A
16-Jan-93,Sheffield United,Ipswich,3,0,H
16-Jan-93,Southampton,Crystal Palace,1,0,H
16-Jan-93,Tottenham,Sheffield Weds,0,2,A
16-Jan-93,Wimbledon,Liverpool,2,0,H
10-Jan-93,Sheffield Weds,Norwich,1,0,H
09-Jan-93,Arsenal,Sheffield United,1,1,D
09-Jan-93,Blackburn,Wimbledon,0,0,D
09-Jan-93,Chelsea,Man City,2,4,A
09-Jan-93,Conventry,Nott'm Forest,0,1,A
09-Jan-93,Crystal Palace,Everton,0,2,A
09-Jan-93,Ipswich,Oldham,1,2,A
09-Jan-93,Leeds,Southampton,2,1,H
09-Jan-93,Liverpool,Aston Villa,1,2,A
09-Jan-93,Man United,Tottenham,4,1,H
09-Jan-93,Middlesbrough,QPR,0,1,A
28-Dec-92,Aston Villa,Arsenal,1,0,H
28-Dec-92,Ipswich,Blackburn,2,1,H
28-Dec-92,Leeds,Norwich,0,0,D
28-Dec-92,Liverpool,Man City,1,1,D
28-Dec-92,Man United,Conventry,5,0,H
28-Dec-92,Middlesbrough,Crystal Palace,0,1,A
28-Dec-92,QPR,Everton,4,2,H
28-Dec-92,Southampton,Sheffield Weds,1,2,A
28-Dec-92,Tottenham,Nott'm Forest,2,1,H
28-Dec-92,Wimbledon,Chelsea,0,0,D
26-Dec-92,Arsenal,Ipswich,0,0,D
26-Dec-92,Blackburn,Leeds,3,1,H
26-Dec-92,Chelsea,Southampton,1,1,D
26-Dec-92,Conventry,Aston Villa,3,0,H
26-Dec-92,Crystal Palace,Wimbledon,2,0,H
26-Dec-92,Everton,Middlesbrough,2,2,D
26-Dec-92,Man City,Sheffield United,2,0,H
26-Dec-92,Norwich,Tottenham,0,0,D
26-Dec-92,Sheffield Weds,Man United,3,3,D
21-Dec-92,Norwich,Ipswich,0,2,A
20-Dec-92,Crystal Palace,Leeds,1,0,H
20-Dec-92,Nott'm Forest,Wimbledon,1,1,D
19-Dec-92,Arsenal,Middlesbrough,1,1,D
19-Dec-92,Blackburn,Sheffield United,1,0,H
19-Dec-92,Chelsea,Man United,1,1,D
19-Dec-92,Conventry,Liverpool,5,1,H
19-Dec-92,Everton,Southampton,2,1,H
19-Dec-92,Man City,Aston Villa,1,1,D
19-Dec-92,Oldham,Tottenham,2,1,H
19-Dec-92,Sheffield Weds,QPR,1,0,H
13-Dec-92,Liverpool,Blackburn,2,1,H
12-Dec-92,Aston Villa,Nott'm Forest,2,1,H
12-Dec-92,Ipswich,Man City,3,1,H
12-Dec-92,Leeds,Sheffield Weds,3,1,H
12-Dec-92,Man United,Norwich,1,0,H
12-Dec-92,QPR,Crystal Palace,1,3,A
12-Dec-92,Sheffield United,Everton,1,0,H
12-Dec-92,Southampton,Conventry,2,2,D
12-Dec-92,Tottenham,Arsenal,1,0,H
12-Dec-92,Wimbledon,Oldham,5,2,H
11-Dec-92,Middlesbrough,Chelsea,0,0,D
07-Dec-92,Everton,Liverpool,2,1,H
06-Dec-92,Man United,Man City,2,1,H
05-Dec-92,Conventry,Ipswich,2,2,D
05-Dec-92,Crystal Palace,Sheffield United,2,0,H
05-Dec-92,Leeds,Nott'm Forest,1,2,A
05-Dec-92,Middlesbrough,Blackburn,3,2,H
05-Dec-92,Norwich,Wimbledon,2,1,H
05-Dec-92,QPR,Oldham,3,2,H
05-Dec-92,Sheffield Weds,Aston Villa,1,2,A
05-Dec-92,Southampton,Arsenal,2,0,H
05-Dec-92,Tottenham,Chelsea,1,2,A
29-Nov-92,Chelsea,Leeds,1,0,H
28-Nov-92,Arsenal,Man United,0,1,A
28-Nov-92,Aston Villa,Norwich,2,3,A
28-Nov-92,Blackburn,QPR,1,0,H
28-Nov-92,Ipswich,Everton,1,0,H
28-Nov-92,Liverpool,Crystal Palace,5,0,H
28-Nov-92,Man City,Tottenham,0,1,A
28-Nov-92,Nott'm Forest,Southampton,1,2,A
28-Nov-92,Oldham,Middlesbrough,4,1,H
28-Nov-92,Sheffield United,Conventry,1,1,D
28-Nov-92,Wimbledon,Sheffield Weds,1,1,D
23-Nov-92,QPR,Liverpool,0,1,A
22-Nov-92,Southampton,Blackburn,1,1,D
21-Nov-92,Conventry,Man City,2,3,A
21-Nov-92,Crystal Palace,Nott'm Forest,1,1,D
21-Nov-92,Everton,Chelsea,0,1,A
21-Nov-92,Leeds,Arsenal,3,0,H
21-Nov-92,Man United,Oldham,3,0,H
21-Nov-92,Middlesbrough,Wimbledon,2,0,H
21-Nov-92,Norwich,Sheffield United,2,1,H
21-Nov-92,Sheffield Weds,Ipswich,1,1,D
21-Nov-92,Tottenham,Aston Villa,0,0,D
09-Nov-92,Oldham,Norwich,2,3,A
08-Nov-92,Sheffield United,Sheffield Weds,1,1,D
07-Nov-92,Arsenal,Conventry,3,0,H
07-Nov-92,Aston Villa,Man United,1,0,H
07-Nov-92,Blackburn,Tottenham,0,2,A
07-Nov-92,Chelsea,Crystal Palace,3,1,H
07-Nov-92,Ipswich,Southampton,0,0,D
07-Nov-92,Liverpool,Middlesbrough,4,1,H
07-Nov-92,Man City,Leeds,4,0,H
07-Nov-92,Nott'm Forest,Everton,0,1,A
07-Nov-92,Wimbledon,QPR,0,2,A
02-Nov-92,Crystal Palace,Arsenal,1,2,A
01-Nov-92,Aston Villa,QPR,2,0,H
31-Oct-92,Chelsea,Sheffield United,1,2,A
31-Oct-92,Everton,Man City,1,3,A
31-Oct-92,Leeds,Conventry,2,2,D
31-Oct-92,Man United,Wimbledon,0,1,A
31-Oct-92,Norwich,Middlesbrough,1,1,D
31-Oct-92,Nott'm Forest,Ipswich,0,1,A
31-Oct-92,Sheffield Weds,Blackburn,0,0,D
31-Oct-92,Southampton,Oldham,1,0,H
31-Oct-92,Tottenham,Liverpool,2,0,H
25-Oct-92,Liverpool,Norwich,4,1,H
25-Oct-92,Wimbledon,Tottenham,1,1,D
24-Oct-92,Arsenal,Everton,2,0,H
24-Oct-92,Blackburn,Man United,0,0,D
24-Oct-92,Conventry,Chelsea,1,2,A
24-Oct-92,Ipswich,Crystal Palace,2,2,D
24-Oct-92,Man City,Southampton,1,0,H
24-Oct-92,Middlesbrough,Sheffield Weds,1,1,D
24-Oct-92,Oldham,Aston Villa,1,1,D
24-Oct-92,QPR,Leeds,2,1,H
24-Oct-92,Sheffield United,Nott'm Forest,0,0,D
21-Oct-92,Nott'm Forest,Middlesbrough,1,0,H
19-Oct-92,Aston Villa,Blackburn,0,0,D
18-Oct-92,Man United,Liverpool,2,2,D
17-Oct-92,Chelsea,Ipswich,2,1,H
17-Oct-92,Crystal Palace,Man City,0,0,D
17-Oct-92,Everton,Conventry,1,1,D
17-Oct-92,Leeds,Sheffield United,3,1,H
17-Oct-92,Norwich,QPR,2,1,H
17-Oct-92,Nott'm Forest,Arsenal,0,1,A
17-Oct-92,Sheffield Weds,Oldham,2,1,H
17-Oct-92,Southampton,Wimbledon,2,2,D
17-Oct-92,Tottenham,Middlesbrough,2,2,D
04-Oct-92,Oldham,Everton,1,0,H
03-Oct-92,Arsenal,Chelsea,2,1,H
03-Oct-92,Blackburn,Norwich,7,1,H
03-Oct-92,Conventry,Crystal Palace,2,2,D
03-Oct-92,Ipswich,Leeds,4,2,H
03-Oct-92,Liverpool,Sheffield Weds,1,0,H
03-Oct-92,Man City,Nott'm Forest,2,2,D
03-Oct-92,Middlesbrough,Man United,1,1,D
03-Oct-92,QPR,Tottenham,4,1,H
03-Oct-92,Sheffield United,Southampton,2,0,H
03-Oct-92,Wimbledon,Aston Villa,2,3,A
28-Sep-92,Arsenal,Man City,1,0,H
27-Sep-92,Sheffield Weds,Tottenham,2,0,H
26-Sep-92,Blackburn,Oldham,2,0,H
26-Sep-92,Chelsea,Nott'm Forest,0,0,D
26-Sep-92,Conventry,Norwich,1,1,D
26-Sep-92,Crystal Palace,Southampton,1,2,A
26-Sep-92,Ipswich,Sheffield United,0,0,D
26-Sep-92,Leeds,Everton,2,0,H
26-Sep-92,Liverpool,Wimbledon,2,3,A
26-Sep-92,Man United,QPR,0,0,D
26-Sep-92,Middlesbrough,Aston Villa,2,3,A
21-Sep-92,Nott'm Forest,Conventry,1,1,D
20-Sep-92,Man City,Chelsea,0,1,A
19-Sep-92,Aston Villa,Liverpool,4,2,H
19-Sep-92,Everton,Crystal Palace,0,2,A
19-Sep-92,Norwich,Sheffield Weds,1,0,H
19-Sep-92,Oldham,Ipswich,4,2,H
19-Sep-92,QPR,Middlesbrough,3,3,D
19-Sep-92,Sheffield United,Arsenal,1,1,D
19-Sep-92,Southampton,Leeds,1,1,D
19-Sep-92,Tottenham,Man United,1,1,D
19-Sep-92,Wimbledon,Blackburn,1,1,D
15-Sep-92,Blackburn,Everton,2,3,A
14-Sep-92,Conventry,Tottenham,1,0,H
13-Sep-92,Leeds,Aston Villa,1,1,D
12-Sep-92,Arsenal,Blackburn,0,1,A
12-Sep-92,Chelsea,Norwich,2,3,A
12-Sep-92,Crystal Palace,Oldham,2,2,D
12-Sep-92,Everton,Man United,0,2,A
12-Sep-92,Ipswich,Wimbledon,2,1,H
12-Sep-92,Man City,Middlesbrough,0,1,A
12-Sep-92,Nott'm Forest,Sheffield Weds,1,2,A
12-Sep-92,Sheffield United,Liverpool,1,0,H
12-Sep-92,Southampton,QPR,1,2,A
06-Sep-92,Man United,Leeds,2,0,H
05-Sep-92,Aston Villa,Crystal Palace,3,0,H
05-Sep-92,Blackburn,Nott'm Forest,4,1,H
05-Sep-92,Liverpool,Chelsea,2,1,H
05-Sep-92,Middlesbrough,Sheffield United,2,0,H
05-Sep-92,Norwich,Southampton,1,0,H
05-Sep-92,Oldham,Conventry,0,1,A
05-Sep-92,QPR,Ipswich,0,0,D
05-Sep-92,Sheffield Weds,Man City,0,3,A
05-Sep-92,Tottenham,Everton,2,1,H
05-Sep-92,Wimbledon,Arsenal,3,2,H
02-Sep-92,Aston Villa,Chelsea,1,3,A
02-Sep-92,Man United,Crystal Palace,1,0,H
02-Sep-92,QPR,Arsenal,0,0,D
02-Sep-92,Sheffield Weds,Conventry,1,2,A
02-Sep-92,Tottenham,Sheffield United,2,0,H
01-Sep-92,Liverpool,Southampton,1,1,D
01-Sep-92,Middlesbrough,Ipswich,2,2,D
01-Sep-92,Oldham,Leeds,2,2,D
01-Sep-92,Wimbledon,Man City,0,1,A
31-Aug-92,Norwich,Nott'm Forest,3,1,H
30-Aug-92,Ipswich,Tottenham,1,1,D
29-Aug-92,Arsenal,Sheffield Weds,2,1,H
29-Aug-92,Chelsea,QPR,1,0,H
29-Aug-92,Conventry,Blackburn,0,2,A
29-Aug-92,Crystal Palace,Norwich,1,2,A
29-Aug-92,Everton,Wimbledon,0,0,D
29-Aug-92,Leeds,Liverpool,2,2,D
29-Aug-92,Man City,Oldham,3,3,D
29-Aug-92,Nott'm Forest,Man United,0,2,A
29-Aug-92,Sheffield United,Aston Villa,0,2,A
29-Aug-92,Southampton,Middlesbrough,2,1,H
26-Aug-92,Arsenal,Oldham,2,0,H
26-Aug-92,Chelsea,Blackburn,0,0,D
26-Aug-92,Conventry,QPR,0,1,A
26-Aug-92,Man City,Norwich,3,1,H
25-Aug-92,Crystal Palace,Sheffield Weds,1,1,D
25-Aug-92,Everton,Aston Villa,1,0,H
25-Aug-92,Ipswich,Liverpool,2,2,D
25-Aug-92,Leeds,Tottenham,5,0,H
25-Aug-92,Sheffield United,Wimbledon,2,2,D
24-Aug-92,Southampton,Man United,0,1,A
23-Aug-92,Liverpool,Arsenal,0,2,A
22-Aug-92,Aston Villa,Southampton,1,1,D
22-Aug-92,Blackburn,Man City,1,0,H
22-Aug-92,Man United,Ipswich,1,1,D
22-Aug-92,Middlesbrough,Leeds,4,1,H
22-Aug-92,Norwich,Everton,1,1,D
22-Aug-92,Oldham,Nott'm Forest,5,3,H
22-Aug-92,QPR,Sheffield United,3,2,H
22-Aug-92,Sheffield Weds,Chelsea,3,3,D
22-Aug-92,Tottenham,Crystal Palace,2,2,D
22-Aug-92,Wimbledon,Conventry,1,2,A
19-Aug-92,Aston Villa,Leeds,1,1,D
19-Aug-92,Liverpool,Sheffield United,2,1,H
19-Aug-92,Man United,Everton,0,3,A
19-Aug-92,Middlesbrough,Man City,2,0,H
19-Aug-92,Norwich,Chelsea,2,1,H
19-Aug-92,Oldham,Crystal Palace,1,1,D
19-Aug-92,QPR,Southampton,3,1,H
19-Aug-92,Sheffield Weds,Nott'm Forest,2,0,H
19-Aug-92,Tottenham,Conventry,0,2,A
18-Aug-92,Blackburn,Arsenal,1,0,H
18-Aug-92,Wimbledon,Ipswich,0,1,A
17-Aug-92,Man City,QPR,1,1,D
16-Aug-92,Nott'm Forest,Liverpool,1,0,H
15-Aug-92,Arsenal,Norwich,2,4,A
15-Aug-92,Chelsea,Oldham,1,1,D
15-Aug-92,Conventry,Middlesbrough,2,1,H
15-Aug-92,Crystal Palace,Blackburn,3,3,D
15-Aug-92,Everton,Sheffield Weds,1,1,D
15-Aug-92,Ipswich,Aston Villa,1,1,D
15-Aug-92,Leeds,Wimbledon,2,1,H
15-Aug-92,Sheffield United,Man United,2,1,H
15-Aug-92,Southampton,Tottenham,0,0,D
