Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
17-Aug-96,Arsenal,West Ham,2,0,H,2,0,H
17-Aug-96,Blackburn,Tottenham,0,2,A,0,1,A
17-Aug-96,Coventry,Nott'm Forest,0,3,A,0,2,A
17-Aug-96,Derby,Leeds,3,3,D,0,1,A
17-Aug-96,Everton,Newcastle,2,0,H,2,0,H
17-Aug-96,Middlesbrough,Liverpool,3,3,D,2,2,D
17-Aug-96,Sheffield Weds,Aston Villa,2,1,H,0,0,D
17-Aug-96,Sunderland,Leicester,0,0,D,0,0,D
17-Aug-96,Wimbledon,Man United,0,3,A,0,1,A
18-Aug-96,Southampton,Chelsea,0,0,D,0,0,D
19-Aug-96,Liverpool,Arsenal,2,0,H,0,0,D
20-Aug-96,Leeds,Sheffield Weds,0,2,A,0,1,A
21-Aug-96,Aston Villa,Blackburn,1,0,H,0,0,D
21-Aug-96,Chelsea,Middlesbrough,1,0,H,0,0,D
21-Aug-96,Leicester,Southampton,2,1,H,2,0,H
21-Aug-96,Man United,Everton,2,2,D,0,2,A
21-Aug-96,Newcastle,Wimbledon,2,0,H,1,0,H
21-Aug-96,Nott'm Forest,Sunderland,1,4,A,1,4,A
21-Aug-96,Tottenham,Derby,1,1,D,1,0,H
21-Aug-96,West Ham,Coventry,1,1,D,0,1,A
24-Aug-96,Aston Villa,Derby,2,0,H,1,0,H
24-Aug-96,Chelsea,Coventry,2,0,H,1,0,H
24-Aug-96,Leicester,Arsenal,0,2,A,0,1,A
24-Aug-96,Liverpool,Sunderland,0,0,D,0,0,D
24-Aug-96,Newcastle,Sheffield Weds,1,2,A,1,1,D
24-Aug-96,Nott'm Forest,Middlesbrough,1,1,D,0,0,D
24-Aug-96,Tottenham,Everton,0,0,D,0,0,D
24-Aug-96,West Ham,Southampton,2,1,H,0,1,A
25-Aug-96,Man United,Blackburn,2,2,D,1,1,D
26-Aug-96,Leeds,Wimbledon,1,0,H,0,0,D
02-Sep-96,Sheffield Weds,Leicester,2,1,H,1,1,D
04-Sep-96,Arsenal,Chelsea,3,3,D,1,2,A
04-Sep-96,Blackburn,Leeds,0,1,A,0,1,A
04-Sep-96,Coventry,Liverpool,0,1,A,0,0,D
04-Sep-96,Derby,Man United,1,1,D,1,1,D
04-Sep-96,Everton,Aston Villa,0,1,A,0,0,D
04-Sep-96,Middlesbrough,West Ham,4,1,H,2,0,H
04-Sep-96,Southampton,Nott'm Forest,2,2,D,0,2,A
