Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
07-Aug-99,Arsenal,Leicester,2,1,H,0,0,D
07-Aug-99,Chelsea,Sunderland,4,0,H,2,0,H
07-Aug-99,Coventry,Southampton,0,1,A,0,0,D
07-Aug-99,Leeds,Derby,0,0,D,0,0,D
07-Aug-99,Middlesbrough,Bradford,0,1,A,0,0,D
07-Aug-99,Newcastle,Aston Villa,0,1,A,0,0,D
07-Aug-99,Sheffield Weds,Liverpool,1,2,A,0,0,D
07-Aug-99,Watford,Wimbledon,2,3,A,1,2,A
07-Aug-99,West Ham,Tottenham,1,0,H,1,0,H
08-Aug-99,Everton,Man United,1,1,D,0,1,A
09-Aug-99,Tottenham,Newcastle,3,1,H,2,1,H
10-Aug-99,Derby,Arsenal,1,2,A,1,1,D
10-Aug-99,Sunderland,Watford,2,0,H,0,0,D
10-Aug-99,Wimbledon,Middlesbrough,2,3,A,1,2,A
11-Aug-99,Aston Villa,Everton,3,0,H,1,0,H
11-Aug-99,Leicester,Coventry,1,0,H,1,0,H
11-Aug-99,Man United,Sheffield Weds,4,0,H,2,0,H
11-Aug-99,Southampton,Leeds,0,3,A,0,1,A
14-Aug-99,Bradford,Sheffield Weds,1,1,D,0,1,A
14-Aug-99,Derby,Middlesbrough,1,3,A,1,2,A
14-Aug-99,Leicester,Chelsea,2,2,D,1,0,H
14-Aug-99,Liverpool,Watford,0,1,A,0,1,A
14-Aug-99,Man United,Leeds,2,0,H,0,0,D
14-Aug-99,Sunderland,Arsenal,0,0,D,0,0,D
14-Aug-99,Tottenham,Everton,3,2,H,1,1,D
14-Aug-99,Wimbledon,Coventry,1,1,D,0,0,D
15-Aug-99,Southampton,Newcastle,4,2,H,0,1,A
16-Aug-99,Aston Villa,West Ham,2,2,D,1,1,D
21-Aug-99,Chelsea,Aston Villa,1,0,H,0,0,D
21-Aug-99,Coventry,Derby,2,0,H,1,0,H
21-Aug-99,Everton,Southampton,4,1,H,2,0,H
21-Aug-99,Leeds,Sunderland,2,1,H,0,1,A
21-Aug-99,Middlesbrough,Liverpool,1,0,H,0,0,D
21-Aug-99,Newcastle,Wimbledon,3,3,D,2,1,H
21-Aug-99,Sheffield Weds,Tottenham,1,2,A,1,2,A
21-Aug-99,Watford,Bradford,1,0,H,0,0,D
21-Aug-99,West Ham,Leicester,2,1,H,1,1,D
22-Aug-99,Arsenal,Man United,1,2,A,1,0,H
23-Aug-99,Leeds,Liverpool,1,2,A,1,1,D
24-Aug-99,Middlesbrough,Leicester,0,3,A,0,2,A
24-Aug-99,Watford,Aston Villa,0,1,A,0,0,D
25-Aug-99,Arsenal,Bradford,2,0,H,2,0,H
25-Aug-99,Coventry,Man United,1,2,A,0,0,D
25-Aug-99,Everton,Wimbledon,4,0,H,1,0,H
25-Aug-99,Newcastle,Sunderland,1,2,A,1,0,H
25-Aug-99,Sheffield Weds,Derby,0,2,A,0,0,D
28-Aug-99,Aston Villa,Middlesbrough,1,0,H,1,0,H
28-Aug-99,Bradford,West Ham,0,3,A,0,2,A
28-Aug-99,Derby,Everton,1,0,H,0,0,D
28-Aug-99,Liverpool,Arsenal,2,0,H,1,0,H
28-Aug-99,Southampton,Sheffield Weds,2,0,H,0,0,D
28-Aug-99,Tottenham,Leeds,1,2,A,1,0,H
28-Aug-99,Wimbledon,Chelsea,0,1,A,0,0,D
29-Aug-99,Sunderland,Coventry,1,1,D,0,1,A
30-Aug-99,Leicester,Watford,1,0,H,1,0,H
30-Aug-99,Man United,Newcastle,5,1,H,1,1,D
11-Sep-99,Arsenal,Aston Villa,3,1,H,1,1,D
11-Sep-99,Chelsea,Newcastle,1,0,H,1,0,H
11-Sep-99,Coventry,Leeds,3,4,A,2,3,A
11-Sep-99,Liverpool,Man United,2,3,A,1,3,A
11-Sep-99,Middlesbrough,Southampton,3,2,H,1,1,D
11-Sep-99,Sheffield Weds,Everton,0,2,A,0,2,A
11-Sep-99,Sunderland,Leicester,2,0,H,1,0,H
11-Sep-99,West Ham,Watford,1,0,H,0,0,D
11-Sep-99,Wimbledon,Derby,2,2,D,0,1,A
12-Sep-99,Bradford,Tottenham,1,1,D,0,0,D
18-Sep-99,Aston Villa,Bradford,1,0,H,0,0,D
18-Sep-99,Derby,Sunderland,0,5,A,0,2,A
18-Sep-99,Leicester,Liverpool,2,2,D,1,2,A
18-Sep-99,Man United,Wimbledon,1,1,D,0,1,A
18-Sep-99,Southampton,Arsenal,0,1,A,0,0,D
18-Sep-99,Watford,Chelsea,1,0,H,0,0,D
19-Sep-99,Everton,West Ham,1,0,H,0,0,D
