Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
15-Aug-98,Blackburn,Derby,0,0,D,0,0,D
15-Aug-98,Coventry,Chelsea,2,1,H,2,1,H
15-Aug-98,Everton,Aston Villa,0,0,D,0,0,D
15-Aug-98,Man United,Leicester,2,2,D,0,1,A
15-Aug-98,Middlesbrough,Leeds,0,0,D,0,0,D
15-Aug-98,Newcastle,Charlton,0,0,D,0,0,D
15-Aug-98,Sheffield Weds,West Ham,0,1,A,0,0,D
15-Aug-98,Wimbledon,Tottenham,3,1,H,0,0,D
16-Aug-98,Southampton,Liverpool,1,2,A,1,1,D
17-Aug-98,Arsenal,Nott'm Forest,2,1,H,0,0,D
22-Aug-98,Charlton,Southampton,5,0,H,1,0,H
22-Aug-98,Chelsea,Newcastle,1,1,D,1,1,D
22-Aug-98,Derby,Wimbledon,0,0,D,0,0,D
22-Aug-98,Leicester,Everton,2,0,H,2,0,H
22-Aug-98,Liverpool,Arsenal,0,0,D,0,0,D
22-Aug-98,Nott'm Forest,Coventry,1,0,H,0,0,D
22-Aug-98,Tottenham,Sheffield Weds,0,3,A,0,2,A
22-Aug-98,West Ham,Man United,0,0,D,0,0,D
23-Aug-98,Aston Villa,Middlesbrough,3,1,H,1,0,H
24-Aug-98,Leeds,Blackburn,1,0,H,1,0,H
29-Aug-98,Arsenal,Charlton,0,0,D,0,0,D
29-Aug-98,Blackburn,Leicester,1,0,H,1,0,H
29-Aug-98,Coventry,West Ham,0,0,D,0,0,D
29-Aug-98,Everton,Tottenham,0,1,A,0,1,A
29-Aug-98,Middlesbrough,Derby,1,1,D,0,1,A
29-Aug-98,Sheffield Weds,Aston Villa,0,1,A,0,1,A
29-Aug-98,Southampton,Nott'm Forest,1,2,A,0,0,D
29-Aug-98,Wimbledon,Leeds,1,1,D,0,0,D
30-Aug-98,Newcastle,Liverpool,1,4,A,1,4,A
08-Sep-98,Leeds,Southampton,3,0,H,1,0,H
08-Sep-98,Nott'm Forest,Everton,0,2,A,0,0,D
09-Sep-98,Aston Villa,Newcastle,1,0,H,0,0,D
09-Sep-98,Chelsea,Arsenal,0,0,D,0,0,D
09-Sep-98,Derby,Sheffield Weds,1,0,H,1,0,H
09-Sep-98,Leicester,Middlesbrough,0,1,A,0,1,A
09-Sep-98,Liverpool,Coventry,2,0,H,1,0,H
09-Sep-98,Man United,Charlton,4,1,H,2,1,H
09-Sep-98,Tottenham,Blackburn,2,1,H,1,1,D
09-Sep-98,West Ham,Wimbledon,3,4,A,3,1,H
12-Sep-98,Aston Villa,Wimbledon,2,0,H,1,0,H
12-Sep-98,Charlton,Derby,1,2,A,0,1,A
12-Sep-98,Chelsea,Nott'm Forest,2,1,H,2,0,H
12-Sep-98,Everton,Leeds,0,0,D,0,0,D
12-Sep-98,Leicester,Arsenal,1,1,D,1,0,H
12-Sep-98,Man United,Coventry,2,0,H,1,0,H
