Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
28-Aug-93,Aston Villa,Tottenham,1,0,H
28-Aug-93,Chelsea,Sheffield Weds,1,1,D
28-Aug-93,Liverpool,Leeds,2,0,H
28-Aug-93,Norwich,Swindon,0,0,D
28-Aug-93,Oldham,Wimbledon,1,1,D
28-Aug-93,Sheffield United,Ipswich,1,1,D
28-Aug-93,Southampton,Man United,1,3,A
28-Aug-93,West Ham,QPR,0,4,A
29-Aug-93,Newcastle,Blackburn,1,1,D
30-Aug-93,Leeds,Oldham,1,0,H
31-Aug-93,Everton,Aston Villa,0,1,A
31-Aug-93,Ipswich,Newcastle,1,1,D
31-Aug-93,Wimbledon,Southampton,1,0,H
01-Sep-93,Blackburn,Arsenal,1,1,D
01-Sep-93,Coventry,Liverpool,1,0,H
01-Sep-93,Man United,West Ham,3,0,H
01-Sep-93,QPR,Sheffield United,2,1,H
01-Sep-93,Sheffield Weds,Norwich,3,3,D
01-Sep-93,Swindon,Man City,1,3,A
01-Sep-93,Tottenham,Chelsea,1,1,D
11-Sep-93,Arsenal,Ipswich,4,0,H
11-Sep-93,Aston Villa,Coventry,0,0,D
11-Sep-93,Chelsea,Man United,1,0,H
11-Sep-93,Man City,QPR,3,0,H
11-Sep-93,Norwich,Wimbledon,0,1,A
11-Sep-93,Oldham,Everton,0,1,A
11-Sep-93,Sheffield United,Tottenham,2,2,D
11-Sep-93,Southampton,Leeds,0,2,A
11-Sep-93,West Ham,Swindon,0,0,D
12-Sep-93,Liverpool,Blackburn,0,1,A
13-Sep-93,Newcastle,Sheffield Weds,4,2,H
18-Sep-93,Blackburn,West Ham,0,2,A
18-Sep-93,Coventry,Chelsea,1,1,D
18-Sep-93,Everton,Liverpool,2,0,H
18-Sep-93,Ipswich,Aston Villa,1,2,A
18-Sep-93,Leeds,Sheffield United,2,1,H
18-Sep-93,QPR,Norwich,2,2,D
18-Sep-93,Sheffield Weds,Southampton,2,0,H
18-Sep-93,Swindon,Newcastle,2,2,D
18-Sep-93,Tottenham,Oldham,5,0,H
19-Sep-93,Man United,Arsenal,1,0,H
20-Sep-93,Wimbledon,Man City,1,0,H
25-Sep-93,Arsenal,Southampton,1,0,H
25-Sep-93,Blackburn,Sheffield Weds,1,1,D
25-Sep-93,Chelsea,Liverpool,1,0,H
25-Sep-93,Coventry,Leeds,0,2,A
25-Sep-93,Everton,Norwich,1,5,A
25-Sep-93,Man United,Swindon,4,2,H
25-Sep-93,Newcastle,West Ham,2,0,H
25-Sep-93,Oldham,Aston Villa,1,1,D
25-Sep-93,Sheffield United,Man City,0,1,A
26-Sep-93,Ipswich,Tottenham,2,2,D
27-Sep-93,Wimbledon,QPR,1,1,D
02-Oct-93,Aston Villa,Newcastle,0,2,A
02-Oct-93,Leeds,Wimbledon,4,0,H
02-Oct-93,Liverpool,Arsenal,0,0,D
02-Oct-93,Norwich,Coventry,1,0,H
02-Oct-93,QPR,Ipswich,3,0,H
02-Oct-93,Sheffield Weds,Man United,2,3,A
02-Oct-93,Southampton,Sheffield United,3,3,D
02-Oct-93,Swindon,Blackburn,1,3,A
02-Oct-93,West Ham,Chelsea,1,0,H
03-Oct-93,Tottenham,Everton,3,2,H
04-Oct-93,Man City,Oldham,1,1,D
16-Oct-93,Arsenal,Man City,0,0,D
16-Oct-93,Chelsea,Norwich,1,2,A
16-Oct-93,Coventry,Southampton,1,1,D
16-Oct-93,Liverpool,Oldham,2,1,H
16-Oct-93,Man United,Tottenham,2,1,H
16-Oct-93,Newcastle,QPR,1,2,A
16-Oct-93,Sheffield Weds,Wimbledon,2,2,D
16-Oct-93,Swindon,Everton,1,1,D
16-Oct-93,West Ham,Aston Villa,0,0,D
17-Oct-93,Ipswich,Leeds,0,0,D
18-Oct-93,Blackburn,Sheffield United,0,0,D
23-Oct-93,Aston Villa,Chelsea,1,0,H
23-Oct-93,Everton,Man United,0,1,A
23-Oct-93,Leeds,Blackburn,3,3,D
23-Oct-93,Man City,Liverpool,1,1,D
23-Oct-93,Norwich,West Ham,0,0,D
23-Oct-93,Oldham,Arsenal,0,0,D
23-Oct-93,QPR,Coventry,5,1,H
23-Oct-93,Sheffield United,Sheffield Weds,1,1,D
23-Oct-93,Tottenham,Swindon,1,1,D
24-Oct-93,Southampton,Newcastle,2,1,H
25-Oct-93,Wimbledon,Ipswich,0,2,A
30-Oct-93,Arsenal,Norwich,0,0,D
30-Oct-93,Blackburn,Tottenham,1,0,H
30-Oct-93,Chelsea,Oldham,0,1,A
30-Oct-93,Ipswich,Everton,0,2,A
30-Oct-93,Liverpool,Southampton,4,2,H
30-Oct-93,Man United,QPR,2,1,H
30-Oct-93,Newcastle,Wimbledon,4,0,H
30-Oct-93,Sheffield Weds,Leeds,3,3,D
30-Oct-93,Swindon,Aston Villa,1,2,A
31-Oct-93,Coventry,Sheffield United,0,0,D
01-Nov-93,West Ham,Man City,3,1,H
06-Nov-93,Arsenal,Aston Villa,1,2,A
06-Nov-93,Coventry,Everton,2,1,H
06-Nov-93,Ipswich,Sheffield Weds,1,4,A
06-Nov-93,Leeds,Chelsea,4,1,H
06-Nov-93,Liverpool,West Ham,2,0,H
06-Nov-93,QPR,Blackburn,1,0,H
06-Nov-93,Sheffield United,Norwich,1,2,A
06-Nov-93,Southampton,Tottenham,1,0,H
06-Nov-93,Wimbledon,Swindon,3,0,H
07-Nov-93,Man City,Man United,2,3,A
08-Nov-93,Oldham,Newcastle,1,3,A
20-Nov-93,Aston Villa,Sheffield United,1,0,H
20-Nov-93,Blackburn,Southampton,2,0,H
20-Nov-93,Chelsea,Arsenal,0,2,A
20-Nov-93,Everton,QPR,0,3,A
20-Nov-93,Man United,Wimbledon,3,1,H
20-Nov-93,Norwich,Man City,1,1,D
20-Nov-93,Sheffield Weds,Coventry,0,0,D
20-Nov-93,Swindon,Ipswich,2,2,D
20-Nov-93,Tottenham,Leeds,1,1,D
20-Nov-93,West Ham,Oldham,2,0,H
21-Nov-93,Newcastle,Liverpool,3,0,H
22-Nov-93,Chelsea,Man City,0,0,D
23-Nov-93,Blackburn,Coventry,2,1,H
23-Nov-93,Everton,Leeds,1,1,D
24-Nov-93,Aston Villa,Southampton,0,2,A
24-Nov-93,Man United,Ipswich,0,0,D
24-Nov-93,Newcastle,Sheffield United,4,0,H
24-Nov-93,Sheffield Weds,Oldham,3,0,H
24-Nov-93,Swindon,QPR,1,0,H
24-Nov-93,Tottenham,Wimbledon,1,1,D
24-Nov-93,West Ham,Arsenal,0,0,D
27-Nov-93,Arsenal,Newcastle,2,1,H
27-Nov-93,Coventry,Man United,0,1,A
27-Nov-93,Ipswich,Blackburn,1,0,H
27-Nov-93,Leeds,Swindon,3,0,H
27-Nov-93,Man City,Sheffield Weds,1,3,A
27-Nov-93,Oldham,Norwich,2,1,H
27-Nov-93,QPR,Tottenham,1,1,D
27-Nov-93,Sheffield United,Chelsea,1,0,H
27-Nov-93,Wimbledon,Everton,1,1,D
28-Nov-93,Liverpool,Aston Villa,2,1,H
29-Nov-93,Southampton,West Ham,0,2,A
04-Dec-93,Coventry,Arsenal,1,0,H
04-Dec-93,Everton,Southampton,1,0,H
04-Dec-93,Ipswich,Oldham,0,0,D
04-Dec-93,Leeds,Man City,3,2,H
04-Dec-93,Man United,Norwich,2,2,D
04-Dec-93,QPR,Aston Villa,2,2,D
04-Dec-93,Sheffield Weds,Liverpool,3,1,H
04-Dec-93,Swindon,Sheffield United,0,0,D
04-Dec-93,Tottenham,Newcastle,1,2,A
04-Dec-93,Wimbledon,West Ham,1,2,A
05-Dec-93,Blackburn,Chelsea,2,0,H
06-Dec-93,Arsenal,Tottenham,1,1,D
07-Dec-93,Oldham,Swindon,2,1,H
07-Dec-93,Sheffield United,Man United,0,3,A
08-Dec-93,Aston Villa,Sheffield Weds,2,2,D
08-Dec-93,Liverpool,QPR,3,2,H
08-Dec-93,Man City,Everton,1,0,H
08-Dec-93,Southampton,Ipswich,0,1,A
08-Dec-93,West Ham,Leeds,0,1,A
11-Dec-93,Aston Villa,Wimbledon,0,1,A
11-Dec-93,Chelsea,Ipswich,1,1,D
11-Dec-93,Liverpool,Swindon,2,2,D
11-Dec-93,Man City,Tottenham,0,2,A
11-Dec-93,Newcastle,Man United,1,1,D
11-Dec-93,Oldham,Blackburn,1,2,A
11-Dec-93,Sheffield United,Everton,0,0,D
11-Dec-93,Southampton,QPR,0,1,A
11-Dec-93,West Ham,Coventry,3,2,H
12-Dec-93,Arsenal,Sheffield Weds,1,0,H
13-Dec-93,Norwich,Leeds,2,1,H
18-Dec-93,Blackburn,Man City,2,0,H
18-Dec-93,Coventry,Oldham,1,1,D
18-Dec-93,Everton,Newcastle,0,2,A
18-Dec-93,Ipswich,Norwich,2,1,H
18-Dec-93,Leeds,Arsenal,2,1,H
18-Dec-93,Sheffield Weds,West Ham,5,0,H
18-Dec-93,Swindon,Southampton,2,1,H
18-Dec-93,Tottenham,Liverpool,3,3,D
18-Dec-93,Wimbledon,Sheffield United,2,0,H
19-Dec-93,Man United,Aston Villa,3,1,H
22-Dec-93,Newcastle,Leeds,1,1,D
26-Dec-93,Man United,Blackburn,1,1,D
26-Dec-93,Sheffield United,Liverpool,0,0,D
26-Dec-93,Wimbledon,Coventry,1,2,A
27-Dec-93,Everton,Sheffield Weds,0,2,A
27-Dec-93,Ipswich,West Ham,1,1,D
27-Dec-93,QPR,Oldham,2,0,H
27-Dec-93,Southampton,Chelsea,3,1,H
27-Dec-93,Swindon,Arsenal,0,4,A
27-Dec-93,Tottenham,Norwich,1,3,A
28-Dec-93,Chelsea,Newcastle,1,0,H
28-Dec-93,Liverpool,Wimbledon,1,1,D
28-Dec-93,Man City,Southampton,1,1,D
28-Dec-93,West Ham,Tottenham,1,3,A
29-Dec-93,Arsenal,Sheffield United,3,0,H
29-Dec-93,Blackburn,Everton,2,0,H
29-Dec-93,Leeds,QPR,1,1,D
29-Dec-93,Norwich,Aston Villa,1,2,A
29-Dec-93,Oldham,Man United,2,5,A
29-Dec-93,Sheffield Weds,Swindon,3,3,D
01-Jan-94,Aston Villa,Blackburn,0,1,A
01-Jan-94,Everton,West Ham,0,1,A
01-Jan-94,Ipswich,Liverpool,1,2,A
01-Jan-94,Man United,Leeds,0,0,D
01-Jan-94,Newcastle,Man City,2,0,H
01-Jan-94,QPR,Sheffield Weds,1,2,A
01-Jan-94,Sheffield United,Oldham,2,1,H
01-Jan-94,Southampton,Norwich,0,1,A
01-Jan-94,Swindon,Chelsea,1,3,A
01-Jan-94,Tottenham,Coventry,1,2,A
01-Jan-94,Wimbledon,Arsenal,0,3,A
03-Jan-94,Arsenal,QPR,0,0,D
03-Jan-94,Chelsea,Everton,4,2,H
03-Jan-94,Coventry,Swindon,1,1,D
03-Jan-94,Sheffield Weds,Tottenham,1,0,H
03-Jan-94,West Ham,Sheffield United,0,0,D
04-Jan-94,Liverpool,Man United,3,3,D
04-Jan-94,Norwich,Newcastle,1,2,A
15-Jan-94,Aston Villa,West Ham,3,1,H
15-Jan-94,Everton,Swindon,6,2,H
15-Jan-94,Leeds,Ipswich,0,0,D
15-Jan-94,Man City,Arsenal,0,0,D
15-Jan-94,Norwich,Chelsea,1,1,D
15-Jan-94,Oldham,Liverpool,0,3,A
15-Jan-94,Sheffield United,Blackburn,1,2,A
15-Jan-94,Southampton,Coventry,1,0,H
15-Jan-94,Tottenham,Man United,0,1,A
15-Jan-94,Wimbledon,Sheffield Weds,2,1,H
16-Jan-94,QPR,Newcastle,1,2,A
22-Jan-94,Arsenal,Oldham,1,1,D
22-Jan-94,Chelsea,Aston Villa,1,1,D
22-Jan-94,Coventry,QPR,0,1,A
22-Jan-94,Ipswich,Wimbledon,0,0,D
22-Jan-94,Liverpool,Man City,2,1,H
22-Jan-94,Man United,Everton,1,0,H
22-Jan-94,Newcastle,Southampton,1,2,A
22-Jan-94,Sheffield Weds,Sheffield United,3,1,H
22-Jan-94,Swindon,Tottenham,2,1,H
23-Jan-94,Blackburn,Leeds,2,1,H
24-Jan-94,West Ham,Norwich,3,3,D
02-Feb-94,Coventry,Ipswich,1,0,H
05-Feb-94,Blackburn,Wimbledon,3,0,H
05-Feb-94,Everton,Chelsea,4,2,H
05-Feb-94,Man City,Ipswich,2,1,H
05-Feb-94,Norwich,Liverpool,2,2,D
05-Feb-94,Oldham,Southampton,2,1,H
05-Feb-94,QPR,Man United,2,3,A
05-Feb-94,Swindon,Coventry,3,1,H
05-Feb-94,Tottenham,Sheffield Weds,1,3,A
06-Feb-94,Aston Villa,Leeds,1,0,H
12-Feb-94,Aston Villa,Swindon,5,0,H
12-Feb-94,Everton,Ipswich,0,0,D
12-Feb-94,Man City,West Ham,0,0,D
12-Feb-94,Oldham,Chelsea,2,1,H
12-Feb-94,Sheffield United,Coventry,0,0,D
12-Feb-94,Tottenham,Blackburn,0,2,A
12-Feb-94,Wimbledon,Newcastle,4,2,H
13-Feb-94,Norwich,Arsenal,1,1,D
14-Feb-94,Southampton,Liverpool,4,2,H
19-Feb-94,Blackburn,Newcastle,1,0,H
19-Feb-94,Coventry,Man City,4,0,H
19-Feb-94,Everton,Arsenal,1,1,D
19-Feb-94,Leeds,Liverpool,2,0,H
19-Feb-94,Swindon,Norwich,3,3,D
22-Feb-94,Aston Villa,Man City,0,0,D
22-Feb-94,Norwich,Blackburn,2,2,D
23-Feb-94,Newcastle,Coventry,4,0,H
26-Feb-94,Arsenal,Blackburn,1,0,H
26-Feb-94,Ipswich,Sheffield United,3,2,H
26-Feb-94,Liverpool,Coventry,1,0,H
26-Feb-94,Man City,Swindon,2,1,H
26-Feb-94,Norwich,Sheffield Weds,1,1,D
26-Feb-94,Southampton,Wimbledon,1,0,H
26-Feb-94,West Ham,Man United,2,2,D
27-Feb-94,Chelsea,Tottenham,4,3,H
28-Feb-94,Oldham,Leeds,1,1,D
02-Mar-94,Tottenham,Aston Villa,1,1,D
05-Mar-94,Blackburn,Liverpool,2,0,H
05-Mar-94,Everton,Oldham,2,1,H
05-Mar-94,Ipswich,Arsenal,1,5,A
05-Mar-94,Leeds,Southampton,0,0,D
05-Mar-94,Man United,Chelsea,0,1,A
05-Mar-94,QPR,Man City,1,1,D
05-Mar-94,Sheffield Weds,Newcastle,0,1,A
05-Mar-94,Swindon,West Ham,1,1,D
05-Mar-94,Tottenham,Sheffield United,2,2,D
05-Mar-94,Wimbledon,Norwich,3,1,H
06-Mar-94,Coventry,Aston Villa,0,1,A
12-Mar-94,Aston Villa,Ipswich,0,1,A
12-Mar-94,Man City,Wimbledon,0,1,A
12-Mar-94,Newcastle,Swindon,7,1,H
12-Mar-94,Norwich,QPR,3,4,A
12-Mar-94,Southampton,Sheffield Weds,1,1,D
13-Mar-94,Liverpool,Everton,2,1,H
13-Mar-94,Sheffield United,Leeds,2,2,D
16-Mar-94,Chelsea,Wimbledon,2,0,H
16-Mar-94,Leeds,Aston Villa,2,0,H
16-Mar-94,Man United,Sheffield Weds,5,0,H
16-Mar-94,Sheffield United,QPR,1,1,D
19-Mar-94,Aston Villa,Oldham,1,2,A
19-Mar-94,Leeds,Coventry,1,0,H
19-Mar-94,Liverpool,Chelsea,2,1,H
19-Mar-94,Man City,Sheffield United,0,0,D
19-Mar-94,QPR,Wimbledon,1,0,H
19-Mar-94,Southampton,Arsenal,0,4,A
19-Mar-94,Swindon,Man United,2,2,D
19-Mar-94,Tottenham,Ipswich,1,1,D
19-Mar-94,West Ham,Newcastle,2,4,A
20-Mar-94,Sheffield Weds,Blackburn,1,2,A
21-Mar-94,Norwich,Everton,3,0,H
22-Mar-94,Arsenal,Man United,2,2,D
22-Mar-94,Newcastle,Ipswich,2,0,H
26-Mar-94,Arsenal,Liverpool,1,0,H
26-Mar-94,Blackburn,Swindon,3,1,H
26-Mar-94,Chelsea,West Ham,2,0,H
26-Mar-94,Coventry,Norwich,2,1,H
26-Mar-94,Everton,Tottenham,0,1,A
26-Mar-94,Ipswich,QPR,1,3,A
26-Mar-94,Oldham,Man City,0,0,D
26-Mar-94,Sheffield United,Southampton,0,0,D
27-Mar-94,Wimbledon,Leeds,1,0,H
28-Mar-94,Sheffield United,West Ham,3,2,H
29-Mar-94,Ipswich,Man City,2,2,D
29-Mar-94,Newcastle,Norwich,3,0,H
29-Mar-94,Wimbledon,Blackburn,4,1,H
30-Mar-94,Aston Villa,Everton,0,0,D
30-Mar-94,Man United,Liverpool,1,0,H
30-Mar-94,Sheffield Weds,Chelsea,3,1,H
30-Mar-94,Southampton,Oldham,1,3,A
01-Apr-94,Leeds,Newcastle,1,1,D
02-Apr-94,Arsenal,Swindon,1,1,D
02-Apr-94,Blackburn,Man United,2,0,H
02-Apr-94,Chelsea,Southampton,2,0,H
02-Apr-94,Coventry,Wimbledon,1,2,A
02-Apr-94,Liverpool,Sheffield United,1,2,A
02-Apr-94,Man City,Aston Villa,3,0,H
02-Apr-94,Norwich,Tottenham,1,2,A
02-Apr-94,Oldham,QPR,4,1,H
02-Apr-94,Sheffield Weds,Everton,5,1,H
02-Apr-94,West Ham,Ipswich,2,1,H
04-Apr-94,Aston Villa,Norwich,0,0,D
04-Apr-94,Everton,Blackburn,0,3,A
04-Apr-94,Ipswich,Coventry,0,2,A
04-Apr-94,Man United,Oldham,3,2,H
04-Apr-94,Newcastle,Chelsea,0,0,D
04-Apr-94,QPR,Leeds,0,4,A
04-Apr-94,Sheffield United,Arsenal,1,1,D
04-Apr-94,Southampton,Man City,0,1,A
04-Apr-94,Swindon,Sheffield Weds,0,1,A
04-Apr-94,Tottenham,West Ham,1,4,A
04-Apr-94,Wimbledon,Liverpool,1,1,D
09-Apr-94,Coventry,Tottenham,1,0,H
09-Apr-94,Liverpool,Ipswich,1,0,H
09-Apr-94,Man City,Newcastle,2,1,H
09-Apr-94,Norwich,Southampton,4,5,A
09-Apr-94,Sheffield Weds,QPR,3,1,H
09-Apr-94,West Ham,Everton,0,1,A
11-Apr-94,Blackburn,Aston Villa,1,0,H
13-Apr-94,QPR,Chelsea,1,1,D
16-Apr-94,Arsenal,Chelsea,1,0,H
16-Apr-94,Coventry,Sheffield Weds,1,1,D
16-Apr-94,Ipswich,Swindon,1,1,D
16-Apr-94,Liverpool,Newcastle,0,2,A
16-Apr-94,Man City,Norwich,1,1,D
16-Apr-94,Oldham,West Ham,1,2,A
16-Apr-94,QPR,Everton,2,1,H
16-Apr-94,Sheffield United,Aston Villa,1,2,A
16-Apr-94,Southampton,Blackburn,3,1,H
16-Apr-94,Wimbledon,Man United,1,0,H
17-Apr-94,Leeds,Tottenham,2,0,H
19-Apr-94,Arsenal,Wimbledon,1,1,D
23-Apr-94,Aston Villa,Arsenal,1,2,A
23-Apr-94,Chelsea,Leeds,1,1,D
23-Apr-94,Everton,Coventry,0,0,D
23-Apr-94,Man United,Man City,2,0,H
23-Apr-94,Newcastle,Oldham,3,2,H
23-Apr-94,Norwich,Sheffield United,0,1,A
23-Apr-94,Sheffield Weds,Ipswich,5,0,H
23-Apr-94,Swindon,Wimbledon,2,4,A
23-Apr-94,Tottenham,Southampton,3,0,H
23-Apr-94,West Ham,Liverpool,1,2,A
24-Apr-94,Blackburn,QPR,1,1,D
26-Apr-94,Wimbledon,Oldham,3,0,H
27-Apr-94,Chelsea,Swindon,2,0,H
27-Apr-94,Leeds,Man United,0,2,A
27-Apr-94,Newcastle,Aston Villa,5,1,H
27-Apr-94,QPR,Arsenal,1,1,D
27-Apr-94,West Ham,Blackburn,1,2,A
30-Apr-94,Arsenal,West Ham,0,2,A
30-Apr-94,Leeds,Everton,3,0,H
30-Apr-94,Liverpool,Norwich,0,1,A
30-Apr-94,Man City,Chelsea,2,2,D
30-Apr-94,Oldham,Sheffield Weds,0,0,D
30-Apr-94,QPR,Swindon,1,3,A
30-Apr-94,Sheffield United,Newcastle,2,0,H
30-Apr-94,Southampton,Aston Villa,4,1,H
30-Apr-94,Wimbledon,Tottenham,2,1,H
01-May-94,Ipswich,Man United,1,2,A
02-May-94,Coventry,Blackburn,2,1,H
03-May-94,Leeds,Sheffield Weds,2,2,D
03-May-94,Oldham,Sheffield United,1,1,D
03-May-94,QPR,West Ham,0,0,D
04-May-94,Chelsea,Coventry,1,2,A
04-May-94,Man United,Southampton,2,0,H
05-May-94,Oldham,Tottenham,0,2,A
07-May-94,Aston Villa,Liverpool,2,1,H
07-May-94,Blackburn,Ipswich,0,0,D
07-May-94,Chelsea,Sheffield United,3,2,H
07-May-94,Everton,Wimbledon,3,2,H
07-May-94,Newcastle,Arsenal,2,0,H
07-May-94,Norwich,Oldham,1,1,D
07-May-94,Sheffield Weds,Man City,1,1,D
07-May-94,Swindon,Leeds,0,5,A
07-May-94,Tottenham,QPR,1,2,A
07-May-94,West Ham,Southampton,3,3,D
08-May-94,Man United,Coventry,0,0,D
