Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
14-Aug-93,Arsenal,Coventry,0,3,A
14-Aug-93,Aston Villa,QPR,4,1,H
14-Aug-93,Chelsea,Blackburn,1,2,A
14-Aug-93,Liverpool,Sheffield Weds,2,0,H
14-Aug-93,Man City,Leeds,1,1,D
14-Aug-93,Newcastle,Tottenham,0,1,A
14-Aug-93,Oldham,Ipswich,0,3,A
14-Aug-93,Sheffield United,Swindon,3,1,H
14-Aug-93,Southampton,Everton,0,2,A
14-Aug-93,West Ham,Wimbledon,0,2,A
15-Aug-93,Norwich,Man United,0,2,A
16-Aug-93,Tottenham,Arsenal,0,1,A
17-Aug-93,Everton,Man City,1,0,H
17-Aug-93,Ipswich,Southampton,1,0,H
17-Aug-93,Leeds,West Ham,1,0,H
17-Aug-93,Wimbledon,Chelsea,1,1,D
18-Aug-93,Blackburn,Norwich,2,3,A
18-Aug-93,Coventry,Newcastle,2,1,H
18-Aug-93,Man United,Sheffield United,3,0,H
18-Aug-93,QPR,Liverpool,1,3,A
18-Aug-93,Sheffield Weds,Aston Villa,0,0,D
18-Aug-93,Swindon,Oldham,0,1,A
21-Aug-93,Blackburn,Oldham,1,0,H
21-Aug-93,Coventry,West Ham,1,1,D
21-Aug-93,Everton,Sheffield United,4,2,H
21-Aug-93,Ipswich,Chelsea,1,0,H
21-Aug-93,Leeds,Norwich,0,4,A
21-Aug-93,Man United,Newcastle,1,1,D
21-Aug-93,QPR,Southampton,2,1,H
21-Aug-93,Sheffield Weds,Arsenal,0,1,A
21-Aug-93,Tottenham,Man City,1,0,H
21-Aug-93,Wimbledon,Aston Villa,2,2,D
22-Aug-93,Swindon,Liverpool,0,5,A
23-Aug-93,Aston Villa,Man United,1,2,A
24-Aug-93,Arsenal,Leeds,2,1,H
24-Aug-93,Man City,Blackburn,0,2,A
24-Aug-93,Oldham,Coventry,3,3,D
24-Aug-93,Sheffield United,Wimbledon,2,1,H
25-Aug-93,Chelsea,QPR,2,0,H
25-Aug-93,Liverpool,Tottenham,1,2,A
25-Aug-93,Newcastle,Everton,1,0,H
25-Aug-93,Norwich,Ipswich,1,0,H
25-Aug-93,Southampton,Swindon,5,1,H
25-Aug-93,West Ham,Sheffield Weds,2,0,H
27-Aug-93,Man City,Coventry,1,1,D
28-Aug-93,Arsenal,Everton,2,0,H
